date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-09-26,2.154262016662652,0.4415862179184367,3.771107580619371,28809489369
2024-09-27,2.167084246666672,0.4723487031650516,3.818470102332069,28809489369
2024-09-28,2.179906476670692,0.5444039916308205,3.808249627772936,28809489369
2024-09-29,2.1927287066747123,0.43945253082129154,3.8810915162209345,28809489369
2024-09-30,2.2055509366787325,0.5810383944200935,3.9090218293286267,28809489369
2024-10-01,2.2183731666827526,0.6472321789476791,3.7701388965821194,28809489369
2024-10-02,2.231195396686774,0.5917418743480655,3.739640542117376,28809489369
2024-10-03,2.2440176266907943,0.5263858964611537,3.7994231867894768,28809489369
2024-10-04,2.2568398566948145,0.49149753846883826,3.9997898421734224,28809489369
2024-10-05,2.269662086698836,0.6042088367435816,3.9019767329173685,28809489369
2024-10-06,2.2824843167028552,0.549539050958148,3.973999842140139,28809489369
2024-10-07,2.2953065467068763,0.6442796513626028,3.804158229479315,28809489369
2024-09-03,1.2799855405150211,-0.5246041445630176,2.951224650636749,28809490329
2024-09-04,1.2992518262208463,-0.30219382111131504,3.141099307863451,28809490329
2024-09-05,1.3185181119266698,-0.3283380120855219,3.099384126376284,28809490329
2024-09-06,1.3377843976324932,-0.32209258559220105,3.093181762383963,28809490329
2024-09-07,1.3570506833383185,-0.44131726663443693,3.144107813692303,28809490329
2024-09-08,1.376316969044142,-0.29779819831414667,3.03314349393966,28809490329
2024-09-09,1.3955832547499671,-0.38965502666439544,3.0940449881801575,28809490329
2024-09-10,1.4148495404557888,-0.27995265033691047,3.172198071584485,28809490329
2024-09-11,1.4341158261616123,-0.2434112007441994,3.1811683853370356,28809490329
2024-09-12,1.4533821118674375,-0.36743401412918175,3.2266563850312813,28809490329
2024-09-13,1.472648397573261,-0.28927399086362315,3.207614981801859,28809490329
2024-09-14,1.4919146832790844,-0.32744582386171955,3.1984518784894336,28809490329
2024-09-15,1.5111809689849096,-0.28759766640002654,3.300825249557809,28809490329
2024-09-16,1.530447254690733,-0.30275753820622775,3.3439588197923236,28809490329
2024-09-17,1.5497135403965565,-0.27583997462182647,3.1972299896423695,28809490329
2024-09-18,1.5689798261023817,-0.13688774193662925,3.5378046886970913,28809490329
2024-09-19,1.5882461118082052,-0.27504810482082537,3.1155622762055994,28809490329
2024-09-20,1.6075123975140304,-0.1884207786478932,3.361267780791444,28809490329
2024-09-21,1.6267786832198539,-0.20181706538947397,3.2838156371868017,28809490329
2024-09-22,1.646044968925679,-0.13526874181760595,3.508810586209321,28809490329
2024-09-23,1.6653112546315043,-0.15946905933013136,3.4021213293592307,28809490329
2024-09-24,1.6845775403373278,-0.08095662404121434,3.321726948470802,28809490329
